categories,Máy tính bảng,Máy đọc sách,Root,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Điện thoại bàn,Điện thoại phổ thông
Máy tính bảng,1.0,-0.0766060871576085,-0.04150619252460186,-0.0416741810299049,-0.31281024795739465,-0.1278811365774809,-0.13517675624563344
Máy đọc sách,-0.0766060871576085,1.0,-0.02929461893968338,-0.052819301530790376,-0.22077806845106782,-0.09025711436649886,-0.09540628332437685
Root,-0.04150619252460186,-0.02929461893968338,1.0,-0.0286181970610444,-0.11962048127437372,-0.048902499848392726,-0.05169238778076653
Điện Thoại - Máy Tính Bảng,-0.0416741810299049,-0.052819301530790376,-0.0286181970610444,1.0,-0.21568023406273049,-0.02196593142120245,-0.0932033225166902
Điện thoại Smartphone,-0.31281024795739465,-0.22077806845106782,-0.11962048127437372,-0.21568023406273049,1.0,-0.36855230925470006,-0.3895782208793791
Điện thoại bàn,-0.1278811365774809,-0.09025711436649886,-0.048902499848392726,-0.02196593142120245,-0.36855230925470006,1.0,-0.15926494095766786
Điện thoại phổ thông,-0.13517675624563344,-0.09540628332437685,-0.05169238778076653,-0.0932033225166902,-0.3895782208793791,-0.15926494095766786,1.0
