customer_id,id,full_name,starts,title,review,rating,rating_average,thank_count
17591439,4048581,,,Rất không hài lòng,"Mua về mấy bữa hư luôn. Không gọi được, gọi cũng không chuông hay báo gì hết. Hàng kém chất lượng quá.",1,,0
8530313,4048581,,,Hóa đơn đỏ,"Chua nhận được hóa đơn đỏ, vui lòng gửi về email: ***",3,,0
6151072,4048581,,,Bình thường,"Âm lượng nhỏ, khó nghe lắm!",3,,0
6238240,4048581,,,Cực kì hài lòng,,5,,0
11660255,4048581,,,Cực kì hài lòng,"Đơn giản, đẹp",5,,0
10388702,4048581,,,Cực kì hài lòng,,5,,0
22314321,4048581,,,Hài lòng,Dùng ok,4,,0
11730971,4048581,,,Cực kì hài lòng,,5,,0
18249762,4048581,,,Cực kì hài lòng,,5,,0
19344647,4048581,,,Hài lòng,Sản phẩm tốt cho người sử dụng!,4,,0
502683,4048581,,,Cực kì hài lòng,,5,,0
19838598,4048581,,,Hài lòng,,4,,0
9706336,4048581,,,Cực kì hài lòng,"Sản phẩm nhận như quảng cáo, mới xài được 3 ngày nên cũng chua thể nói là ổn. Vẫn ủng hộ xếp 5 sao",5,,0
1008768,4048581,,,Cực kì hài lòng,"đàm thoại tốt, chữ hiển thị trên màn hình bé xíu à
màu đen sang chảnh, cảm giác bấm số nặng tay quá. 
làm ơn xuất giùm hóa đơn cho mình với nhà bán ơi..... ko có hóa đơn làm sao mà thanh toán được với công ty đây.....",5,,0
11802100,4048581,,,Cực kì hài lòng,,5,,0
7699668,4059671,,,Cực kì hài lòng,"Nghe tốt, chuông đổ lớn",5,,0
1041458,4059671,,,Rất không hài lòng,Mua về cấm vào cứ để 5 phút là kêu hoài không tắt. Gọi Tiki kêu Bảo hành gửi bảo hành rồi đem về lại kêu như trước không có gì thay đổi. Giờ lại gửi bảo hành lại nhưng chắc là cũng không có gì thay đổi. sản phẩm quá tệ,1,,0
2139007,4059671,,,Cực kì hài lòng,,5,,0
12499361,4059671,,,Cực kì hài lòng,"Đúng là hàng chính hãng. Nhìn đẹp, sắc nét, chuông vang, phím nhạy..Nói chung rất ok, nhưng độ bền mới sài chưa biết? Tiki giao hàng nhanh hơn dự kiến, đóng gói kỹ lưỡng đạt điểm 10",5,,0
204709,4059671,,,Cực kì hài lòng,"sản phẩm đúng cam kết, không có gì để phàn nàn",5,,0
943747,4059671,,,Cực kì hài lòng,,5,,0
398698,4059671,,,Cực kì hài lòng,,5,,0
11619221,4059671,,,Cực kì hài lòng,,5,,0
11253355,4059671,,,Cực kì hài lòng,Hài lòng,5,,0
13723370,4059671,,,Bình thường,"Điện thoại đẹp, giao hàng nhanh, có điều cái màn hình giả, nhìn trên hình tưởng màn hình thật.",3,,0
1041458,4059671,,,Rất không hài lòng,Mua về cấm vào cứ để 5 phút là kêu hoài không tắt. Gọi Tiki kêu Bảo hành gửi bảo hành rồi đem về lại kêu như trước không có gì thay đổi. Giờ lại gửi bảo hành lại nhưng chắc là cũng không có gì thay đổi. sản phẩm quá tệ,1,,0
2139007,4059671,,,Cực kì hài lòng,,5,,0
12499361,4059671,,,Cực kì hài lòng,"Đúng là hàng chính hãng. Nhìn đẹp, sắc nét, chuông vang, phím nhạy..Nói chung rất ok, nhưng độ bền mới sài chưa biết? Tiki giao hàng nhanh hơn dự kiến, đóng gói kỹ lưỡng đạt điểm 10",5,,0
204709,4059671,,,Cực kì hài lòng,"sản phẩm đúng cam kết, không có gì để phàn nàn",5,,0
943747,4059671,,,Cực kì hài lòng,,5,,0
398698,4059671,,,Cực kì hài lòng,,5,,0
13723370,4059671,,,Bình thường,"Điện thoại đẹp, giao hàng nhanh, có điều cái màn hình giả, nhìn trên hình tưởng màn hình thật.",3,,0
7699668,4059671,,,Cực kì hài lòng,"Nghe tốt, chuông đổ lớn",5,,0
11619221,4059671,,,Cực kì hài lòng,,5,,0
11317858,4059671,,,Hài lòng,,4,,0
13945866,4059671,,,Điện thoại bàn,"Dùng ok nha ace, thay vì ra tiệm mua, ở nhà order là có",4,,0
220225,4059671,,,Cực kì hài lòng,,5,,0
14780990,4059671,,,Cực kì hài lòng,,5,,0
1276107,4059671,,,Cực kì hài lòng,,5,,0
7366135,4059671,,,Cực kì hài lòng,,5,,0
11253355,4059671,,,Cực kì hài lòng,Hài lòng,5,,0
14587357,4059671,,,Cực kì hài lòng,,5,,1
2089339,4059671,,,Cực kì hài lòng,Sản phẩm đẹp,5,,0
14440579,4059671,,,Hài lòng,,4,,0
8789688,4059671,,,Hài lòng,Chất lượng phù hợp với giá tiền!,4,,0
6006682,4065607,,,Cực kì hài lòng,"Đúng chính hãng, mới, chất lượng tốt",5,,0
6006682,4065607,,,Cực kì hài lòng,"Đúng chính hãng, mới, chất lượng tốt",5,,0
10304666,4065607,,,Hài lòng,sản phẩm cũng ok,4,,0
5790806,4065607,,,Cực kì hài lòng,Rất vừa ý. Dịch vụ phản hồi tin nhắn và xuất hoá đơn nhanh.,5,,0
873790,4065607,,,"Sản phẩm ban đầu xài ổn, nhưng qua 01 tháng bị hư adapter,","Sau 01 tháng sử dụng thì hư cục adapter, đưa Tiki bảo hành thay cục sạc - đã chuyển tiền thay thế cục sạc mới, nhưng hơn 01 tháng bảo hành rồi vẫn chưa nhận được lại sản phẩm, thất vọng",2,,1
12731137,4065607,,,Cực kì hài lòng,,5,,0
8825746,4065607,,,Cực kì hài lòng,Rat hai long,5,,0
10304666,4065607,,,Hài lòng,sản phẩm cũng ok,4,,0
